parameter,LB,UB,
beta_star,-1000,1000,0
rho_beta,-1000,1000,1
sigma_beta,-1000,1000,2
delta,-1000,1000,3
zeta_star,-1000,1000,4
sigma_zeta,-1000,1000,5
zeta_hstar,-1000,1000,6
sigma_hzeta,-1000,1000,7
alpha,-1000,1000,8
psi_E,-1000,1000,9
gamma_1,-1000,1000,10
gamma_2,-1000,1000,11
gamma_3,-1000,1000,12
sigma_M,-1000,1000,13
kappa_1,-1000,1000,14
kappa_2,-1000,1000,15
kappa_3,-1000,1000,16
kappa_4,-1000,1000,17
d,-1000,1000,18
varphi_sim,-1000,1000,19
