treatm,week,gender,group,co_ebook,co_sim,co_mcq,co_saq,co_esim_session_hours,co_emcq_session_hours,co_esaq_session_hours,co_simmcq_session_hours,co_simsaq_session_hours,co_mcsaq_session_hours,co_fsaq_cumul,co_fmcq_cumul,co_ftotebook_pageviews_cumul,co_fhappy_deploym_cumul,co_fsaq_session_hours_cumul,co_fmcq_session_hours_cumul,co_febook_session_hours_cumul,co_fsim_session_hours_cumul,co_fatar_ii,cmcsaq_session_hours,csimsaq_session_hours,csimmcq_session_hours,cesaq_session_hours,cemcq_session_hours,cesim_session_hours,acmcq_Cattempt,actotebook_pageviews,acsaq_session_hours,acmcq_session_hours,acebook_session_hours,acsim_session_hours,sd_totebook_pageviews_cumul,sd_saq_cumul,sd_mcq_cumul,sd_saq_session_hours_cumul,sd_mcq_session_hours_cumul,sd_ebook_session_hours_cumul,sd_sim_session_hours_cumul,sd_course_grade,sd_final_grade_exp,sd_final_grade,sd_happy_deploym_cumul,av_totebook_pageviews_cumul,av_saq_cumul,av_mcq_cumul,av_saq_session_hours_cumul,av_mcq_session_hours_cumul,av_ebook_session_hours_cumul,av_sim_session_hours_cumul,av_course_grade,av_final_grade_exp,av_final_grade,av_happy_deploym_cumul,av_knowledge_cumul,sd_knowledge_cumul
"Male, no gender",1,1,tau_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.057954557,NA,NA,NA,NA,NA,NA,NA,31.813541,NA,NA,NA,0.23070426,1.1761461,NA,NA,NA,NA,NA,12.336735,NA,NA,NA,0.058242586,0.51679093,NA,NA,NA,NA,NA,NA,NA
"Male, no gender",2,1,tau_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032218248,NA,NA,0.16948387,0.17924607,NA,NA,0.72196788,NA,0.014831309,0.70824128,NA,111.2976,0.44545498,15.645267,0.12966596,0.69149137,3.4965155,NA,NA,NA,NA,NA,91.362244,0.081632651,4.6428571,0.022907428,0.16020839,3.082706,NA,NA,NA,NA,NA,NA,NA
"Male, no gender",3,1,tau_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.085944414,NA,NA,0.17727742,0.20890868,NA,0.87738383,0.94604784,-1,0.95964181,0.92612845,NA,156.52515,0.61347163,32.884899,0.16127163,1.0659027,5.3662214,NA,NA,NA,NA,NA,143.42346,0.18367347,11.755102,0.035020974,0.30232599,5.2477098,NA,NA,NA,NA,NA,NA,NA
"Male, no gender",4,1,tau_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.089403063,NA,NA,0.17964472,0.20575123,NA,0.88085252,0.97145844,0.99901378,0.97269416,0.94445091,NA,180.01013,0.75855494,52.744938,0.17221537,1.4808085,6.822515,NA,NA,NA,NA,NA,174.80103,0.26530612,21.719387,0.047514807,0.51413941,7.0443954,NA,NA,NA,NA,NA,NA,NA
"Male, no gender",5,1,tau_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0380533,0.23504356,0.28064197,0.19772659,0.23944075,0.30823019,0.80929703,0.8591674,0.97581983,0.89065856,0.89129019,NA,239.39624,1.8416088,75.942879,0.6737656,2.0136769,9.2110538,10.905606,NA,NA,NA,8612.873828,268.5051,0.59183675,42.719387,0.18655175,0.95331818,10.895214,8.7897682,NA,NA,NA,522,NA,NA
"Male, no gender",6,1,tau_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.074647658,0.21018204,0.28051651,0.18582122,0.24592313,0.30551651,0.78192449,0.97305238,0.97507179,0.90429884,0.95889878,0.89003325,272.25586,2.8186789,91.812004,0.93506801,2.3943744,11.312838,17.204887,NA,NA,NA,105301.441,317.16327,0.93877554,63.418365,0.3025203,1.4449725,13.899014,15.224209,NA,NA,NA,7277,NA,NA
"Male, no gender",7,1,tau_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.20311737,0.16854243,0.22382472,0.1691038,0.21546796,0.26636147,0.93516159,0.94790465,0.96736431,0.94444114,0.96463412,0.95669806,312.07886,3.3038836,100.92104,1.1050395,2.6987765,13.252394,19.98711,NA,NA,NA,453600.2333,351.66327,1.1326531,77.93367,0.3738558,1.7348306,16.053301,18.18829,NA,NA,NA,21264.5,NA,NA
"Male, no gender",8,1,tau_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.15624245,0.16276063,0.21861655,0.20191039,0.23988341,0.26793528,0.81545919,0.97814792,0.98784465,0.89365417,0.98168766,0.98404801,359.22244,3.5219727,143.45276,1.1581966,3.2601891,15.571333,21.496283,NA,NA,NA,704010.3769,392.53061,1.2959183,116.81633,0.42222726,2.4676282,18.616852,20.518337,NA,NA,NA,45149,NA,NA
"Male, no gender",9,1,tau_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.080467373,0.14325832,0.21755537,0.22511752,0.26817641,0.28083602,0.90989453,0.9935841,0.99008232,0.94539577,0.98923808,0.99455249,379.13037,4.140049,163.42361,1.247786,3.7051518,16.836803,22.003763,NA,NA,NA,964619.0058,417.41327,1.6173469,150.27551,0.53015476,3.1025105,20.446266,21.433538,NA,NA,NA,88326.5,NA,NA
"Male, no gender",10,1,tau_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088222027,0.1333539,0.22513945,0.24524304,0.30121297,0.29341492,0.86194539,0.98291618,0.88736546,0.85963595,0.97530144,0.99802828,407.44537,7.2024965,211.69266,1.7355654,5.0160933,18.523602,22.016415,NA,NA,NA,1249631.961,459.7092,2.6275511,215.16837,0.79459727,4.5886745,23.11282,21.862286,NA,NA,NA,105527.5,NA,NA
"Male, no gender",11,1,tau_01,0.81987804,0.47032425,0.8016082,0.74982023,0.32689065,0.4292044,0.27017182,0.21209934,0.031488117,0.32693523,0.27762204,0.25769785,0.2254165,0.27618259,0.25049123,0.17807882,0.28673291,0.15675163,0.48269349,0.14085642,0.1330355,0.2092796,0.23177142,0.28501287,0.28175879,0.681822,0.97230893,0.85903823,0.80403066,0.96258003,0.99889898,457.62756,15.977669,263.02371,2.8003941,6.2875609,21.447033,21.942886,9.4597712,6.5013752,8.9894714,3444342.431,555.47961,9.8928576,433.2449,2.0541298,8.3074989,28.811563,22.18709,74.999214,43.517345,30.219387,129390,NA,NA
"Male, no gender",1,0,tau_00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.079210356,NA,NA,NA,NA,NA,NA,NA,43.399002,NA,NA,NA,0.095613495,1.8320473,NA,NA,NA,NA,NA,16.86014,NA,NA,NA,0.025869224,0.79889655,NA,NA,NA,NA,NA,NA,NA
"Male, no gender",2,0,tau_00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22261873,NA,NA,0.13749878,0.15642636,NA,NA,0.65326995,NA,-0.48016223,0.76118994,NA,115.90392,0.21923643,8.6554594,0.0582253,0.23912236,4.6891761,NA,NA,NA,NA,NA,99.167831,0.034965035,2.3426573,0.010631876,0.064190134,3.8446925,NA,NA,NA,NA,NA,NA,NA
"Male, no gender",3,0,tau_00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.060715623,NA,NA,0.17198668,0.18253437,NA,0.39979917,0.93599808,NA,0.53304189,0.92685854,NA,165.48216,0.55158412,30.562662,0.13786589,0.63361424,7.1650829,NA,NA,NA,NA,NA,163.16084,0.13986014,9.6853151,0.029756228,0.20002346,6.7087321,NA,NA,NA,NA,NA,NA,NA
"Male, no gender",4,0,tau_00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.029351614,NA,NA,0.16286249,0.17185771,NA,0.68938994,0.95890421,1,0.84791517,0.95592153,NA,204.9856,0.62389469,55.739014,0.1522861,0.97525138,9.3755865,NA,NA,NA,NA,NA,208.37064,0.18181819,18.748251,0.039782688,0.34542927,9.4482327,NA,NA,NA,NA,NA,NA,NA
"Male, no gender",5,0,tau_00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.31770635,0.25656468,0.23739508,0.22107956,0.2023737,0.27933583,0.90144074,0.95890319,0.53433341,0.85919225,0.95551622,NA,275.51123,1.1854115,69.633339,0.36103222,1.3183661,12.76149,7.1733031,NA,NA,NA,1001.55594,295.79022,0.46153846,33.384617,0.14068723,0.68758255,13.485523,5.9466043,NA,NA,NA,170,NA,NA
"Male, no gender",6,0,tau_00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.24954323,0.32837537,0.30638951,0.24820767,0.23093161,0.30720162,0.84788227,0.97324044,0.99127096,0.7931999,0.9786194,0.78091693,312.63431,1.4690745,87.335068,0.56958783,1.8863922,14.639916,12.030839,NA,NA,NA,23823.55314,354.25174,0.69230771,56.314686,0.22462401,1.2736617,16.594004,11.544972,NA,NA,NA,3036.5,NA,NA
"Male, no gender",7,0,tau_00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.17048995,0.34945071,0.33782119,0.22982423,0.22888079,0.32931784,0.94299585,0.98506749,0.93730444,0.92967546,0.98170817,0.95176238,339.11002,1.8892304,102.42267,0.74480879,2.3445234,16.393236,14.769759,NA,NA,NA,166990.1895,387.26575,0.96503496,72.678322,0.3061159,1.6801184,18.795712,14.502838,NA,NA,NA,10471.5,NA,NA
"Male, no gender",8,0,tau_00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.13507845,0.34730011,0.34307495,0.21464956,0.22937793,0.33525306,0.90915275,0.98010874,0.97337234,0.88700241,0.97149253,0.98326439,389.79419,2.2699263,137.01624,0.8058461,3.1464601,19.6917,16.335379,NA,NA,NA,397902.6344,439.16083,1.2937063,106.23776,0.4055264,2.4402707,22.456308,16.824564,NA,NA,NA,30016,NA,NA
"Male, no gender",9,0,tau_00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.011747105,0.34445813,0.3438724,0.22073203,0.240463,0.33888024,0.83630657,0.9919973,0.86738157,0.8467617,0.98793489,0.99714786,424.29379,3.6402814,190.7131,1.2030183,4.2718716,21.934595,16.452499,NA,NA,NA,614859.3467,479.51749,1.8741258,158.99301,0.60642451,3.5467803,25.414125,17.460226,NA,NA,NA,43736,NA,NA
"Male, no gender",10,0,tau_00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.099133693,0.34109968,0.34838548,0.2448478,0.26819393,0.35473827,0.89447242,0.97706497,0.92877436,0.89507478,0.96547937,0.99235696,493.46973,7.0999255,244.93773,1.4562789,5.2348976,25.425018,16.277784,NA,NA,NA,835662.3762,552.4895,3.6993008,244.38461,0.89053571,5.2110629,30.384424,18.00478,NA,NA,NA,45975,NA,NA
"Male, no gender",11,0,tau_00,0.90740663,0.16449325,0.75123864,0.66854739,0.24159072,0.37138164,0.33179635,0.11511716,0.031076588,0.31728062,0.37922779,0.18753883,0.18355525,0.13518848,0.17308521,0.18144158,0.23996776,0.2933366,0.34897709,0.20532593,0.31247342,0.32982138,0.24868102,0.27384683,0.33050478,0.66300267,0.97708631,0.6860913,0.77636844,0.97065681,0.98900115,559.45172,18.242239,299.13901,2.1606107,6.8383226,29.346478,16.017672,11.510898,7.1754651,10.26497,1027842.57,667.1958,14.587413,487.7063,1.9868847,9.1740255,37.411682,18.664413,74.439407,41.642307,29.989511,53072,NA,NA
"Male, gender",1,1,tau_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036357943,NA,NA,NA,NA,NA,NA,NA,41.356174,NA,NA,NA,0.27544475,1.4037347,NA,NA,NA,NA,NA,16.198925,NA,NA,NA,0.06354823,0.61879766,NA,NA,NA,NA,NA,NA,NA
"Male, gender",2,1,tau_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28981701,NA,NA,0.12412181,0.15327007,NA,NA,0.54030943,NA,0.36366537,0.58273655,NA,111.16691,0.44757086,17.091932,0.13741218,0.40043852,3.6631072,NA,NA,NA,NA,NA,91.89785,0.10215054,4.7903228,0.035761438,0.09964709,3.2135646,NA,NA,NA,NA,NA,NA,NA
"Male, gender",3,1,tau_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21576549,NA,NA,0.083647899,0.14291185,NA,0.83731049,0.90379077,NA,0.91714025,0.91975951,NA,160.75359,0.65511644,34.512001,0.16548167,0.65988219,5.6074696,NA,NA,NA,NA,NA,149.9086,0.21505377,14.091398,0.036650788,0.24972458,5.5005946,NA,NA,NA,NA,NA,NA,NA
"Male, gender",4,1,tau_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19304843,NA,NA,0.10531349,0.16070487,NA,0.84017682,0.9704327,1,0.84938484,0.95374036,NA,192.80763,0.66193467,55.977058,0.16582583,1.0762658,7.3119035,NA,NA,NA,NA,NA,184.66667,0.2311828,25.596775,0.038775623,0.45269555,7.4861231,NA,NA,NA,NA,NA,NA,NA
"Male, gender",5,1,tau_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32239482,0.24053179,0.24169689,0.19712169,0.21472628,0.22091898,0.92231715,0.91666323,0.90560889,0.84136826,0.91138107,NA,253.26613,1.2728471,72.424065,0.30464995,1.4822954,10.127183,10.17311,NA,NA,NA,4936.454692,272.38171,0.43548387,41.290321,0.10746381,0.81431538,11.17031,7.8942037,NA,NA,NA,575,NA,NA
"Male, gender",6,1,tau_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.064263299,0.2585943,0.2397169,0.14845005,0.15463471,0.22115642,0.91418386,0.96791422,0.91929138,0.91329348,0.96457309,0.92886496,299.60251,1.8043829,85.164825,0.51508421,1.8850352,12.381112,14.349032,NA,NA,NA,43868.28322,321.58603,0.7096774,60.892471,0.208837,1.255043,13.847714,12.565505,NA,NA,NA,5483.5,NA,NA
"Male, gender",7,1,tau_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.023376042,0.19670968,0.20099676,0.15667488,0.14321852,0.19429292,0.95202398,0.98492789,0.97537005,0.94648421,0.98385286,0.96998936,328.97556,1.8889621,101.78089,0.52875304,2.2889898,13.748938,15.409826,NA,NA,NA,127649.9034,352.24194,0.75806451,74.865593,0.23065493,1.5271282,15.595687,14.675756,NA,NA,NA,17153.5,NA,NA
