treatm,week,co_ebook_1,co_sim_1,co_mcq_1,co_saq_1,co_esim_session_hours_1,co_emcq_session_hours_1,co_esaq_session_hours_1,co_simmcq_session_hours_1,co_simsaq_session_hours_1,co_mcsaq_session_hours_1,co_ebook_0,co_sim_0,co_mcq_0,co_saq_0,co_esim_session_hours_0,co_emcq_session_hours_0,co_esaq_session_hours_0,co_simmcq_session_hours_0,co_simsaq_session_hours_0,co_mcsaq_session_hours_0,co_fsaq_cumul_1,co_fmcq_cumul_1,co_ftotebook_pageviews_cumul_1,co_fhappy_deploym_cumul_1,co_fsaq_session_hours_cumul_1,co_fmcq_session_hours_cumul_1,co_febook_session_hours_cumul_1,co_fsim_session_hours_cumul_1,co_fsaq_cumul_0,co_fmcq_cumul_0,co_ftotebook_pageviews_cumul_0,co_fhappy_deploym_cumul_0,co_fsaq_session_hours_cumul_0,co_fmcq_session_hours_cumul_0,co_febook_session_hours_cumul_0,co_fsim_session_hours_cumul_0,co_fatar_ii_1,co_fatar_ii_0,cmcsaq_session_hours_1,csimsaq_session_hours_1,csimmcq_session_hours_1,cesaq_session_hours_1,cemcq_session_hours_1,cesim_session_hours_1,cmcsaq_session_hours_0,csimsaq_session_hours_0,csimmcq_session_hours_0,cesaq_session_hours_0,cemcq_session_hours_0,cesim_session_hours_0,acmcq_Cattempt_1,actotebook_pageviews_1,acsaq_session_hours_1,acmcq_session_hours_1,acebook_session_hours_1,acsim_session_hours_1,acmcq_Cattempt_0,actotebook_pageviews_0,acsaq_session_hours_0,acmcq_session_hours_0,acebook_session_hours_0,acsim_session_hours_0,sd_totebook_pageviews_cumul_1,sd_totebook_pageviews_cumul_0,sd_saq_cumul_1,sd_saq_cumul_0,sd_mcq_cumul_1,sd_mcq_cumul_0,sd_saq_session_hours_cumul_1,sd_saq_session_hours_cumul_0,sd_mcq_session_hours_cumul_1,sd_mcq_session_hours_cumul_0,sd_ebook_session_hours_cumul_1,sd_ebook_session_hours_cumul_0,sd_sim_session_hours_cumul_1,sd_sim_session_hours_cumul_0,sd_course_grade_1,sd_course_grade_0,sd_final_grade_exp_1,sd_final_grade_exp_0,sd_final_grade_1,sd_final_grade_0,sd_happy_deploym_cumul_1,sd_happy_deploym_cumul_0,av_totebook_pageviews_cumul_1,av_totebook_pageviews_cumul_0,av_saq_cumul_1,av_saq_cumul_0,av_mcq_cumul_1,av_mcq_cumul_0,av_saq_session_hours_cumul_1,av_saq_session_hours_cumul_0,av_mcq_session_hours_cumul_1,av_mcq_session_hours_cumul_0,av_ebook_session_hours_cumul_1,av_ebook_session_hours_cumul_0,av_sim_session_hours_cumul_1,av_sim_session_hours_cumul_0,av_course_grade_1,av_course_grade_0,av_final_grade_exp_1,av_final_grade_exp_0,av_final_grade_1,av_final_grade_0,av_happy_deploym_cumul_1,av_happy_deploym_cumul_0
"Male, no gender",11,0.81987804,0.47032425,0.8016082,0.74982023,0.32689065,0.4292044,0.27017182,0.21209934,0.031488117,0.32693523,0.90740663,0.16449325,0.75123864,0.66854739,0.24159072,0.37138164,0.33179635,0.11511716,0.031076588,0.31728062,0.27762204,0.25769785,0.2254165,0.27618259,0.25049123,0.17807882,0.28673291,0.15675163,0.37922779,0.18753883,0.18355525,0.13518848,0.17308521,0.18144158,0.23996776,0.2933366,0.48269349,0.34897709,0.14085642,0.1330355,0.2092796,0.23177142,0.28501287,0.28175879,0.20532593,0.31247342,0.32982138,0.24868102,0.27384683,0.33050478,0.681822,0.97230893,0.85903823,0.80403066,0.96258003,0.99889898,0.66300267,0.97708631,0.6860913,0.77636844,0.97065681,0.98900115,457.62756,559.45172,15.977669,18.242239,263.02371,299.13901,2.8003941,2.1606107,6.2875609,6.8383226,21.447033,29.346478,21.942886,16.017672,9.4597712,11.510898,6.5013752,7.1754651,8.9894714,10.26497,3444342.43144191,1027842.569601850,555.47961,667.1958,9.8928576,14.587413,433.2449,487.7063,2.0541298,1.9868847,8.3074989,9.1740255,28.811563,37.411682,22.18709,18.664413,74.999214,74.439407,43.517345,41.642307,30.219387,29.989511,129390,53072
"Male, gender",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036357943,,,,,,0.28094074,,,,,,,,,,,,,,41.356174,40.069157,,,,,,,0.27544475,0.3696315,1.4037347,1.5730107,,,,,,,,,,,16.198925,16.090225,,,,,,,0.06354823,0.084106393,0.61879766,0.7543968,,,,,,,,,,
"Male, gender",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28981701,,,0.12412181,0.15327007,,-0.02018665,,,0.13170296,0.27267569,,,0.54030943,,0.36366537,0.58273655,,,0.79424089,,0.13539983,0.84268218,,111.16691,103.99492,0.44757086,0.44458207,17.091932,14.313245,0.13741218,0.14781354,0.40043852,0.58246028,3.6631072,4.1793461,,,,,,,,,,,91.89785,94.067673,0.10215054,0.082706764,4.7903228,5.2781954,0.035761438,0.022213079,0.09964709,0.17649692,3.2135646,3.6355402,,,,,,,,,,
"Male, gender",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21576549,,,0.083647899,0.14291185,,0.048816256,,,0.10188055,0.25048271,,0.83731049,0.90379077,,0.91714025,0.91975951,,0.68336809,0.89212412,,0.85813046,0.93214726,,160.75359,147.21468,0.65511644,0.60103577,34.512001,40.923645,0.16548167,0.10032906,0.65988219,1.1946894,5.6074696,6.3704581,,,,,,,,,,,149.9086,157.66917,0.21505377,0.15789473,14.091398,16.759399,0.036650788,0.020341242,0.24972458,0.40482548,5.5005946,6.3198457,,,,,,,,,,
"Male, gender",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19304843,,,0.10531349,0.16070487,,0.13171396,,,0.07576561,0.22944416,,0.84017682,0.9704327,1,0.84938484,0.95374036,,0.91064763,0.9640696,1,0.92939234,0.96641654,,192.80763,179.8481,0.66193467,0.76230693,55.977058,58.395649,0.16582583,0.15819997,1.0762658,1.6084,7.3119035,8.5461006,,,,,,,,,,,184.66667,200.3158,0.2311828,0.2781955,25.596775,26.751881,0.038775623,0.048366487,0.45269555,0.6490888,7.4861231,8.7766209,,,,,,,,,,
"Male, gender",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32239482,0.24053179,0.24169689,0.19712169,0.21472628,0.22091898,0.14345281,0.42689645,0.41846171,0.18458529,0.30023,0.44658315,0.92231715,0.91666323,0.90560889,0.84136826,0.91138107,,0.91437584,0.91197193,0.62131691,0.95844787,0.95095551,,253.26613,241.67197,1.2728471,1.6455717,72.424065,86.296753,0.30464995,0.4164333,1.4822954,2.2622271,10.127183,11.443539,10.17311,7.8329029,,,,,,,4936.454691598740,4719.767161739970,272.38171,298.99249,0.43548387,0.66917294,41.290321,51.473682,0.10746381,0.16883264,0.81431538,1.1340532,11.17031,12.818016,7.8942037,6.9181242,,,,,,,575,308
"Male, gender",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064263299,0.2585943,0.2397169,0.14845005,0.15463471,0.22115642,0.081541345,0.40780294,0.39374423,0.17358613,0.27750629,0.40989619,0.91418386,0.96791422,0.91929138,0.91329348,0.96457309,0.92886496,0.87296873,0.96008086,0.99162042,0.94736075,0.97247386,0.85828143,299.60251,287.90549,1.8043829,2.1148663,85.164825,108.07768,0.51508421,0.55117458,1.8850352,3.1113153,12.381112,14.090142,14.349032,12.284248,,,,,,,43868.28321713820,24743.51748792940,321.58603,355.27069,0.7096774,0.93233085,60.892471,79.097748,0.208837,0.25274053,1.255043,1.7284611,13.847714,15.943176,12.565505,12.355168,,,,,,,5483.5,4621
"Male, gender",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.023376042,0.19670968,0.20099676,0.15667488,0.14321852,0.19429292,0.097275682,0.36632448,0.34811348,0.16499981,0.26431885,0.3750878,0.95202398,0.98492789,0.97537005,0.94648421,0.98385286,0.96998936,0.90687317,0.98746175,0.99619389,0.97840279,0.98529804,0.9385922,328.97556,309.61456,1.8889621,2.3107572,101.78089,122.32313,0.52875304,0.5591501,2.2889898,3.2153969,13.748938,15.850966,15.409826,15.228296,,,,,,,127649.903449893,87554.96653614720,352.24194,382.64661,0.75806451,1.1278195,74.865593,98.458649,0.23065493,0.28125167,1.5271282,2.0216589,15.595687,17.83058,14.675756,15.142384,,,,,,,17153.5,16237.5
"Male, gender",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.047382697,0.17629337,0.19947392,0.1917229,0.1409349,0.19618464,0.16449869,0.35801169,0.3343412,0.18085624,0.29107967,0.36911696,0.92100155,0.98721731,0.95929271,0.92415386,0.97851181,0.94496524,0.88093346,0.98657775,0.86787802,0.93002301,0.9900648,0.97317863,354.55984,337.20764,2.0718915,3.8150897,127.47673,152.05098,0.62051111,0.94193125,2.925421,3.5624399,15.65179,17.914637,16.985229,16.814777,,,,,,,273956.7905023250,200708.4966746620,391.72043,423.54135,0.87634408,1.5037594,101.04839,129.23308,0.26751298,0.41807532,2.0586848,2.6646187,18.290552,20.511005,17.070343,17.511065,,,,,,,39165.5,25522.5
"Male, gender",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.016820094,0.19477031,0.21863376,0.21093595,0.14866719,0.21041922,0.22179487,0.35586694,0.33492473,0.189954,0.30100557,0.35983911,0.88772184,0.99291033,0.96753639,0.90433186,0.98434931,0.98246872,0.79306787,0.98854351,0.97297198,0.88828647,0.98857558,0.99444699,373.94147,369.62115,2.4796059,4.4843087,157.07762,188.24464,0.79253381,1.24005,3.661921,3.9915471,17.247244,19.913927,17.925938,17.267054,,,,,,,664263.9773169170,345806.6001587270,419.5484,455.6842,1.0537634,1.9323308,139.41936,176,0.34795189,0.57815713,2.8120198,3.4888754,20.401287,22.83041,18.108177,18.269342,,,,,,,67855,47908
"Male, gender",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15757853,0.2021413,0.24356589,0.2747401,0.20666942,0.22798644,0.29838207,0.34910011,0.35143906,0.20549688,0.32328263,0.35052559,0.7818886,0.98102605,0.81942683,0.84929729,0.97405308,0.99707729,0.80105472,0.98044074,0.8657757,0.84868211,0.98103797,0.99699807,404.9743,423.06924,3.4095104,7.8333926,221.25095,232.76764,1.0230837,1.9216164,4.3968964,5.4727731,19.782492,23.127956,18.175701,17.146984,,,,,,,2118042.225721870,508252.1438282760,467.36023,512.66168,1.6451613,3.2631578,227.68817,267.40601,0.54694629,0.89308745,4.3018355,5.5285072,23.726566,26.561325,18.55633,18.704515,,,,,,,87854,67716.5
"Male, gender",11,0.87890416,0.21283765,0.76061422,0.5950771,0.40359217,0.41219598,0.33526507,0.052351981,0.27872488,0.28824517,0.89532751,0.34806681,0.74059755,0.69464862,0.25367025,0.38627031,0.5076831,0.18677345,0.095147274,0.33800948,0.24720407,0.25332499,0.087170579,0.13371758,0.11890915,0.18337895,0.16836908,0.163629,0.36530596,0.15672074,0.23546571,0.22427331,0.11144139,0.2402768,0.20658277,0.24806999,0.41749796,0.33377841,0.16028839,0.2052999,0.22382937,0.26606268,0.20294274,0.21634968,0.23514789,0.33049044,0.32730329,0.15903625,0.27467588,0.312264,0.70968091,0.96882808,0.72136128,0.79769695,0.9673456,0.99104202,0.78761178,0.94498545,0.59097028,0.86192745,0.96454334,0.99840671,464.95184,515.92346,14.742399,15.923608,276.89304,271.4949,2.0643539,3.4856668,5.0430875,6.3187418,23.193974,26.484484,18.610201,16.992767,9.2759275,11.317042,6.3902755,7.7188902,8.8741331,9.0125351,4557347.955226070,668725.741898908,565.94086,641.05261,8.2365589,11.654136,433.28494,467.3985,1.3917482,2.3644323,7.4389944,8.9049759,29.512735,32.850399,19.072948,19.049746,75.077591,72.931068,43.50914,42.093609,30.308065,28.780827,109597,91703
"Female, no gender",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.069976501,,,,,,-0.0022896461,,,,,,,,,,,,,,32.628746,38.371876,,,,,,,0.20561692,0.34148797,1.5606794,1.7362286,,,,,,,,,,,11.563452,18.123188,,,,,,,0.055374097,0.098605536,0.59408098,0.80935824,,,,,,,,,,
"Female, no gender",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16820067,,,0.096583016,0.058633149,,-0.13940205,,,0.048568085,0.06702739,,,0.55034167,,0.16676491,0.73298687,,,0.51862025,,-0.069772519,0.77256399,,111.20411,99.610069,0.43546546,0.37762445,18.109251,24.290112,0.19170451,0.1241122,0.32744575,0.38003081,3.8456068,3.7942274,,,,,,,,,,,93.492386,105.94927,0.0964467,0.057971016,5.4873095,6.347826,0.040237021,0.024246227,0.10274278,0.11431357,3.304493,3.9233685,,,,,,,,,,
